
Index	Nounce	Data	Hash	Prev. hash	Proof of Work
4c	5004763	Daniel:leave	000000989ed0cb41d6b0582996fb739ac35cfe6a4ad64f3d78471d952d1ec9ce	000000e5bd047ceb02703ad779bf63a604e97c1c4f46ef162ede394eafaa7be2	true
4d	20023743	Kristian:leave	000000e5bd047ceb02703ad779bf63a604e97c1c4f46ef162ede394eafaa7be2	000000e690242bbf678ec8017416f2bf9e1757a31967ef2a91532509c91dfad0	true
4e	24095851	Helge:leave	000000e690242bbf678ec8017416f2bf9e1757a31967ef2a91532509c91dfad0	000000a71ebbfdb623967198835437d98ab75dccea63c00985ecf8218ce3d602	true
4f	61126298	Emmely:join	000000a71ebbfdb623967198835437d98ab75dccea63c00985ecf8218ce3d602	0000000022d67e4da35e322e64bf2c2ab0a03f9bed1f350e978882d7a95a859d	true
50	3218840	Anders:join	0000000022d67e4da35e322e64bf2c2ab0a03f9bed1f350e978882d7a95a859d	0000003961a302d3fe9abdcc073bcbd57eb19ac0fcf7eb880d9cf57638554718	true
51	26372153	Tine:join	0000003961a302d3fe9abdcc073bcbd57eb19ac0fcf7eb880d9cf57638554718	000000e725c099503b16167b5f8d0c427be5e21a9ae34a7cd63f9b011746267b	true
52	4577574	Tine:leave	000000e725c099503b16167b5f8d0c427be5e21a9ae34a7cd63f9b011746267b	000000af5a02963db08e0cd05196e96ea93f3166a76765ad070a8d86d66b65fc	true
53	34238035	Emmely:leave	000000af5a02963db08e0cd05196e96ea93f3166a76765ad070a8d86d66b65fc	0000008a79229cce18154c9c519cc986f902bf7ab2104232e15cd98dc29710d9	true
54	8385726	Anders:leave	0000008a79229cce18154c9c519cc986f902bf7ab2104232e15cd98dc29710d9	0000004aedf31188a79a9935945c474196b4974f3ab940d6aa2ec6ce6afd9cae	true
55	3895586	Jens:join	0000004aedf31188a79a9935945c474196b4974f3ab940d6aa2ec6ce6afd9cae	00000008d0716a3b8af1123f48c30f549c34430af38de532d9fa3b58b5686727	true
56	4942918	Daniel:join	00000008d0716a3b8af1123f48c30f549c34430af38de532d9fa3b58b5686727	0000006e494ccd9283b1cb8e7cad82ee2df8b7d3a1750190fa42466d524a0d12	true
57	3757477	Kristian:join	0000006e494ccd9283b1cb8e7cad82ee2df8b7d3a1750190fa42466d524a0d12	000000d160499c66f24690537b4fc5fa59e99182af45ee6162cb0183f2f0969b	true
58	10579149	Helge:join	000000d160499c66f24690537b4fc5fa59e99182af45ee6162cb0183f2f0969b	0000005f97db13ca113d5e37cd1f041d7a2833196d7fac553ab1828332d3fc2e	true
59	572174	Emmely:join	0000005f97db13ca113d5e37cd1f041d7a2833196d7fac553ab1828332d3fc2e	000000f4c5f7b81b2d0b7d8dd0a7e691e8608d7b3ddda17e6ad57afb5cbe2e74	true
5a	31797401	Jens:leave	000000f4c5f7b81b2d0b7d8dd0a7e691e8608d7b3ddda17e6ad57afb5cbe2e74	00000031ec1d2dd77713d1d684e6e2adfddcc94ea790f652cd9dd151e37cbbef	true
5b	25012263	Daniel:leave	00000031ec1d2dd77713d1d684e6e2adfddcc94ea790f652cd9dd151e37cbbef	00000071fdb9bca33f41fdaa7f2778793772211e02ed1c72cd5aeae937866248	true
5c	56730377	Kristian:leave	00000071fdb9bca33f41fdaa7f2778793772211e02ed1c72cd5aeae937866248	000000e43cc60888f9e0c98c76e4e591f7b31333e127157efc5dbf155395e1d8	true
5d	2362105	Helge:leave	000000e43cc60888f9e0c98c76e4e591f7b31333e127157efc5dbf155395e1d8	0000003ff31cfceca88b3c8b4ef48b1f09a95160f160676c8758cb1953134b5d	true
5e	172583	Emmely:leave	0000003ff31cfceca88b3c8b4ef48b1f09a95160f160676c8758cb1953134b5d	000000170aeed1343df5fa3605f509a7080f4cec4231e99778d7698ca1ddc83a	true
5f	512475	Tine:join	000000170aeed1343df5fa3605f509a7080f4cec4231e99778d7698ca1ddc83a	00000011c22dd7c2a07befa8b482402e77bee4518c7be055820277d8fdd42d9e	true
